Date Time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
01-01-2020 01:00,278.08,63.4,989.24,1.24,12.33,0,0,0,0
01-01-2020 02:00,278.29,62.04,989.94,1,30.81,0,0,0,0.489
01-01-2020 03:00,279.06,60.07,990.66,0.88,68.46,0,0,0,62.5803
01-01-2020 04:00,281.46,56.88,991.56,1.2,102.51,0,0,0,206.2024
01-01-2020 05:00,284.02,47.38,992.36,1.73,121.43,0,0,0,354.7542
01-01-2020 06:00,287.55,37.86,992.51,2.58,126.37,0,0,0,462.2105
01-01-2020 07:00,290.05,31.63,991.9,3.27,128.98,0,0,0,517.451
01-01-2020 08:00,291.32,29.19,990.92,3.38,129.82,0,0,0,511.8024
01-01-2020 09:00,291.97,28.52,990.11,3.37,132.33,0,0,0,442.082
01-01-2020 10:00,291.7,30.15,989.58,2.81,134.21,0,0,0,305.4918
01-01-2020 11:00,290.07,46.12,989.41,1.31,138.06,0,0,0,143.9726
01-01-2020 12:00,288.74,40.64,989.55,0.58,142.71,0,0,0,33.2339
01-01-2020 13:00,287.87,39.2,990.1,0.4,16.85,0,0,0,0
01-01-2020 14:00,286.28,43.52,990.89,1.29,18.22,0,0,0,0
01-01-2020 15:00,284.18,49.44,991.61,2.13,29.65,0,0,0,0
01-01-2020 16:00,282.33,55.7,991.98,2.76,42.67,0,0,0,0
01-01-2020 17:00,281.36,59.85,991.97,3.08,56.3,0,0,0,0
01-01-2020 18:00,280.94,62,991.69,3.17,70.22,0,0,0,0
01-01-2020 19:00,280.78,62.79,991.12,3.05,83.29,0,0,0,0
01-01-2020 20:00,280.91,62.11,990.67,2.74,95.3,0,0,0,0
01-01-2020 21:00,281.2,60.89,990.4,2.35,106.72,0,0,0,0
01-01-2020 22:00,281.5,60.05,990.19,1.99,114.82,0,0,0,0
01-01-2020 23:00,281.44,60.78,990,1.72,114.39,0,0,0,0
02-01-2020 00:00,281.12,62.67,990.33,1.53,107.6,0,0,0,0
02-01-2020 01:00,280.66,65.17,991.08,1.51,98.51,0,0,0,0
02-01-2020 02:00,280.24,67.38,992.02,1.62,94.77,0,0,0,0.385
02-01-2020 03:00,280.66,67.73,992.75,1.72,98.53,0,0,0,47.9276
02-01-2020 04:00,283.15,61.43,993.4,2.13,110.05,0,0,0,160.0143
02-01-2020 05:00,285.49,53.16,993.77,2.5,125.41,0,0,0,290.9299
02-01-2020 06:00,288.64,47.36,993.27,3.41,132.71,0,0,0,417.4136
02-01-2020 07:00,290.86,44.64,991.96,3.79,136.58,0.000286,0,0,508.3844
02-01-2020 08:00,292.06,44.12,990.58,3.52,139.24,0.002605,0,0,532.2299
02-01-2020 09:00,292.6,44.73,989.59,2.84,142.53,0.011955,0,0,478.926
02-01-2020 10:00,292.48,46.1,989.14,1.97,141.54,0.015243,0,0,360.1768
02-01-2020 11:00,291.77,49.94,988.99,0.99,129.64,0.001773,0,0,178.4266
02-01-2020 12:00,290.27,56.73,989.06,0.15,10.68,0.000165,0,0,36.1356
02-01-2020 13:00,288.6,58.1,989.33,1.05,328.47,0.000084,0,0,0
02-01-2020 14:00,287.37,62.24,989.68,1.75,338.72,0.000044,0,0,0
02-01-2020 15:00,286.27,65.9,989.99,2.21,351.74,0.000028,0,0,0
02-01-2020 16:00,285.4,68.11,990.18,2.46,6.86,0.000013,0,0,0
02-01-2020 17:00,284.68,69.48,990.22,2.55,19.98,0.000006,0,0,0
02-01-2020 18:00,284.14,70.11,990.03,2.52,29.86,0.000004,0,0,0
02-01-2020 19:00,283.83,69.9,989.59,2.45,40.41,0.000003,0,0,0
02-01-2020 20:00,283.66,69.14,989.19,2.36,50.94,0.000003,0,0,0
02-01-2020 21:00,283.52,68.31,988.9,2.2,57.53,0.000003,0,0,0
02-01-2020 22:00,283.36,67.87,988.43,2,59.36,0.000006,0,0,0
02-01-2020 23:00,283.21,68.05,987.9,1.82,58.27,0.000003,0,0,0
03-01-2020 00:00,282.69,69.79,987.62,1.73,59.19,0.000002,0,0,0
03-01-2020 01:00,282.35,71.02,987.75,1.61,64.9,0.000002,0,0,0
03-01-2020 02:00,281.91,73.01,988.3,1.34,71.66,0.000002,0,0,0.5449
03-01-2020 03:00,282.68,70.96,988.97,1.09,83.19,0.000002,0,0,75.3503
03-01-2020 04:00,285.6,61.74,989.61,1.16,106.88,0.000002,0,0,241.6761
03-01-2020 05:00,288.78,52.25,989.94,1.03,143.38,0.000278,0,0,404.0086
03-01-2020 06:00,291.95,45.2,989.46,1.2,194.7,0.004702,0,0,521.0004
03-01-2020 07:00,293.51,42.42,988.38,1.85,223.37,0.01029,0,0,584.2189
03-01-2020 08:00,294.35,40.28,987.01,2.14,240.12,0.010831,0,0,573.431
03-01-2020 09:00,294.68,38.61,985.95,2.17,254.16,0.009152,0,0,499.5377
